run_id,variant,group,shock_scale,hostility_scale,recovery_scale,time,event
floor_bounce_0101,floor_bounce,1,0.772124,1.062392,1.062811,5,1
baseline_no_bounce_0102,baseline_no_bounce,0,0.846718,1.399876,1.085106,11,1
floor_bounce_0102,floor_bounce,1,0.846718,1.399876,1.085106,8,1
baseline_no_bounce_0103,baseline_no_bounce,0,0.619454,1.110572,0.938888,6,1
floor_bounce_0103,floor_bounce,1,0.619454,1.110572,0.938888,5,1
baseline_no_bounce_0104,baseline_no_bounce,0,1.000275,1.093153,1.05858,8,1
floor_bounce_0104,floor_bounce,1,1.000275,1.093153,1.05858,6,1
baseline_no_bounce_0106,baseline_no_bounce,0,1.260241,1.380631,1.270475,13,1
floor_bounce_0106,floor_bounce,1,1.260241,1.380631,1.270475,10,1
baseline_no_bounce_0107,baseline_no_bounce,0,0.588893,1.153896,0.712556,7,1
floor_bounce_0107,floor_bounce,1,0.588893,1.153896,0.712556,5,1
baseline_no_bounce_0108,baseline_no_bounce,0,1.32272,1.05067,0.828825,10,1
floor_bounce_0108,floor_bounce,1,1.32272,1.05067,0.828825,7,1
baseline_no_bounce_0109,baseline_no_bounce,0,1.40198,1.128794,0.716328,12,1
floor_bounce_0109,floor_bounce,1,1.40198,1.128794,0.716328,9,1
baseline_no_bounce_0110,baseline_no_bounce,0,1.058694,0.853772,1.016694,6,1
floor_bounce_0110,floor_bounce,1,1.058694,0.853772,1.016694,5,1
baseline_no_bounce_0111,baseline_no_bounce,0,0.906961,1.274699,0.786507,10,1
floor_bounce_0111,floor_bounce,1,0.906961,1.274699,0.786507,7,1
baseline_no_bounce_0112,baseline_no_bounce,0,1.063481,1.362838,0.875956,12,1
floor_bounce_0112,floor_bounce,1,1.063481,1.362838,0.875956,9,1
baseline_no_bounce_0113,baseline_no_bounce,0,1.04213,1.0404,0.896545,8,1
floor_bounce_0113,floor_bounce,1,1.04213,1.0404,0.896545,6,1
baseline_no_bounce_0114,baseline_no_bounce,0,1.129579,1.01941,0.858435,8,1
floor_bounce_0114,floor_bounce,1,1.129579,1.01941,0.858435,6,1
baseline_no_bounce_0115,baseline_no_bounce,0,1.352403,1.158323,0.974934,12,1
floor_bounce_0115,floor_bounce,1,1.352403,1.158323,0.974934,8,1
baseline_no_bounce_0116,baseline_no_bounce,0,0.872665,0.843127,1.184641,4,1
floor_bounce_0116,floor_bounce,1,0.872665,0.843127,1.184641,3,1
baseline_no_bounce_0117,baseline_no_bounce,0,0.970704,1.091888,0.972331,8,1
floor_bounce_0117,floor_bounce,1,0.970704,1.091888,0.972331,6,1
baseline_no_bounce_0118,baseline_no_bounce,0,1.123282,0.976804,1.114578,8,1
floor_bounce_0118,floor_bounce,1,1.123282,0.976804,1.114578,6,1
baseline_no_bounce_0119,baseline_no_bounce,0,0.963358,1.165917,1.100858,9,1
floor_bounce_0119,floor_bounce,1,0.963358,1.165917,1.100858,7,1
